2023-Jan-01
2024-Jan-01
Ticker,ranking,metricRankSum,priceToValue_rank,priceToValue_value,residualFreeCashFlowToEnterpriseValue_rank,residualFreeCashFlowToEnterpriseValue_value,Country,Name,ProducingExcess,ReturnOnInvestedCapital,CostOfCapital,PercentInsiders,PercentInstitutions,MarketCapitalizationMln,IPODate,Price,TargetPrice,StrongBuy,Buy,Hold,Sell,StrongSell,URL
HBIO.US,171,445,50,0.0552831,395,0.0490597,United States,Harvard Bioscience Inc,No,-0.0825805,0.11201,6.965,76.586,183.56,2000-12-07,2.77,6.92,2,0,0,0,0,https://www.harvardbioscience.com
TOBII.ST,172,446,291,0.481534,155,0.103167,Sweden,Tobii AB,No,-0.128906,0.0899121,13.021,51.986,1441.95,,16.72,nan,nan,nan,nan,nan,nan,https://www.tobii.com
PETR3.SA,173,446,312,0.514707,134,0.112143,Brazil,Petróleo Brasileiro S.A. - Petrobras,No,-0.00983225,0.0771945,50.259,20.163,480620,,22.3259,nan,nan,nan,nan,nan,nan,https://petrobras.com.br
FIA1S.HE,174,446,30,0.00815614,416,0.0459451,Finland,Finnair Oyj,No,-0.252349,0.185496,56.841,9.656,469.802,,0.0652,nan,nan,nan,nan,nan,nan,https://company.finnair.com
MT.US,175,447,161,0.277638,286,0.0678202,Luxembourg,ArcelorMittal SA ADR,Yes,0.144168,0.0704768,0,5.117,19488.3,1997-08-08,25.7459,32.97,2,1,2,0,0,https://corporate.arcelormittal.com
MVC.MC,176,449,66,0.093257,383,0.050934,Spain,Metrovacesa SA,No,-0.119382,0.111767,94.489,2.234,1201.44,,5.869,nan,nan,nan,nan,nan,nan,https://www.metrovacesa.com
CVE.TO,177,450,306,0.504801,144,0.108406,Canada,Cenovus Energy Inc,Yes,0.152287,0.0761779,30.829,54.772,50258,,25.6951,nan,nan,nan,nan,nan,nan,https://www.cenovus.com
DORO.ST,178,453,271,0.458193,182,0.0914147,Sweden,DORO AB,Yes,0.100727,0.0757648,36.175,49.632,450.035,,14.86,nan,nan,nan,nan,nan,nan,https://www.doro.com
SU.TO,179,456,314,0.519762,142,0.109019,Canada,Suncor Energy Inc,Yes,0.131816,0.0744819,0.013,65.947,57257.5,,40.9251,nan,nan,nan,nan,nan,nan,https://www.suncor.com
LYB.US,180,462,247,0.41445,215,0.0833295,United States,LyondellBasell Industries NV,No,0.0277694,0.0678883,20.64,72.43,30296.2,2010-04-28,78.7738,100.42,4,5,12,2,1,https://www.lyondellbasell.com
PATK.US,181,465,287,0.473585,178,0.0941218,United States,Patrick Industries Inc,Yes,0.132355,0.0596582,6.655,95.408,1590.16,1978-01-13,59.1626,nan,3,2,1,1,0,https://www.patrickind.com
VAST.LSE,182,466,15,0.00018217,451,0.0417612,United Kingdom,Vast Resources PLC,No,-7.27666,0.0968896,40.596,30.415,9.67,,0.155,nan,nan,nan,nan,nan,nan,https://www.vastplc.com
WCH.XETRA,183,467,224,0.378483,243,0.0768887,Germany,Wacker Chemie AG,Yes,0.154791,0.0750814,63.588,17.135,7620.64,,108.834,nan,nan,nan,nan,nan,nan,https://www.wacker.com
TDC.US,184,470,410,0.726861,60,0.16545,United States,Teradata Corp,No,0.0436508,0.0787944,1.137,91.91,4445.55,2007-10-01,33.66,60.46,6,2,2,1,0,https://www.teradata.com
HPE.US,185,470,218,0.372334,252,0.0745759,United States,Hewlett Packard Enterprise Co,No,0.0537215,0.067351,0.403,85.017,22283.3,2015-10-19,15.4761,17.18,4,5,12,0,1,https://www.hpe.com
WTI.US,186,472,434,0.804477,38,0.21384,United States,W&T Offshore Inc,Yes,1.94534,0.0616926,33.757,49.857,568.346,2005-01-28,5.5636,9.9,1,1,0,0,0,https://www.wtoffshore.com
SLCA.US,187,475,243,0.410908,232,0.0801182,United States,US Silica Holdings Inc,No,0.0447922,0.066683,3.254,85.544,1020.25,2012-02-01,12.5,15,1,0,2,0,0,https://www.ussilica.com
UBER.US,188,476,24,0.00387767,452,0.0416975,United States,Uber Technologies Inc,No,-0.550316,0.102736,0.175,77.044,97578.1,2019-05-10,24.73,53.99,32,14,2,0,0,https://www.uber.com
ARYN.SW,189,478,123,0.206524,355,0.0546915,Switzerland,Aryzta AG,No,-0.159526,0.0642557,6.16,40.116,1667.62,,1.101,nan,nan,nan,nan,nan,nan,https://www.aryzta.com
GSL.US,190,481,114,0.194438,367,0.0536908,United Kingdom,Global Ship Lease Inc,Yes,0.206282,0.05569,7.325,51.679,634.744,2006-08-25,15.3676,28.25,3,0,0,0,0,https://www.globalshiplease.com
GTK.XETRA,191,482,131,0.225093,351,0.055715,Germany,Tonkens Agrar AG,Yes,0.110372,0.0537278,71.27,0.558,11.7789,,5.75,nan,nan,nan,nan,nan,nan,https://www.tonkens-agrar.de
DOW.US,192,485,302,0.497274,183,0.0911349,United States,Dow Inc,Yes,0.0743732,0.0685723,0.125,65.708,36067.7,2019-03-20,47.7976,56.21,3,3,16,1,1,https://www.dow.com
DELL.US,193,485,415,0.731966,70,0.152908,United States,Dell Technologies Inc,Yes,0.178289,0.0511194,3.323,77.109,48976,1988-06-22,39.0604,64.82,10,4,5,2,0,https://www.delltechnologies.com
S32.AU,194,492,339,0.572978,153,0.103824,Australia,South32 Ltd,Yes,0.261578,0.0762863,0.496,38.198,15037.1,,3.8753,nan,nan,nan,nan,nan,nan,https://www.south32.net
TOU.TO,195,494,288,0.473661,206,0.0859149,Canada,Tourmaline Oil Corp.,Yes,0.128184,0.0846291,5.525,54.99,23003.4,,61.7751,nan,nan,nan,nan,nan,nan,https://www.tourmalineoil.com
PRU.AU,196,496,228,0.385339,268,0.0706142,,Perseus Mining Ltd,Yes,0.14353,0.0790793,0.586,56.919,2328.19,2004-09-22,2.0694,nan,nan,nan,nan,nan,nan,https://www.perseusmining.com
UFPI.US,197,496,320,0.535753,176,0.0943821,United States,Ufp Industries Inc,Yes,0.224431,0.0832018,2.926,82.024,6226.71,1993-11-10,78.3375,115,4,0,2,0,0,https://www.ufpi.com
IPL.AU,198,498,263,0.445553,235,0.0797539,Australia,Incitec Pivot Ltd,Yes,0.0824886,0.0718058,0.364,40.744,5457.65,,3.5595,nan,nan,nan,nan,nan,nan,https://www.incitecpivot.com.au
CBAV.MC,199,501,387,0.673939,114,0.123199,Spain,Clinica Baviera,Yes,0.336052,0.0793561,91.668,4.83,327.714,2007-04-03,16.8517,nan,nan,nan,nan,nan,nan,https://www.clinicabaviera.com
LYSDY.US,200,501,280,0.463719,221,0.0821345,Australia,Lynas Rare Earths Ltd ADR,Yes,0.298713,0.079591,0,0.052,4119.06,,5.26,nan,nan,nan,nan,nan,nan,https://www.lynasrareearths.com
CLF.US,201,502,284,0.466977,218,0.0826396,United States,Cleveland-Cliffs Inc,Yes,0.111952,0.0684428,1.59,65.313,7884.57,1987-11-05,16.11,19.18,3,1,5,0,0,https://www.clevelandcliffs.com
OC.US,202,502,332,0.555783,170,0.0959838,United States,Owens Corning Inc,Yes,0.148044,0.0709585,0.608,103.901,11894,2006-11-01,83.6654,135.86,6,1,8,2,0,https://www.owenscorning.com
AXL.US,203,503,138,0.242966,365,0.05381,United States,American Axle & Manufacturing,No,0.0185175,0.082608,3.156,91.996,834.624,1999-01-29,7.82,9.29,0,2,7,0,0,https://www.aam.com
ISAT.JK,204,505,200,0.343742,305,0.0642946,Indonesia,Indosat Tbk,No,0.0600287,0.0724709,83.611,5.53,7.49829e+07,1994-10-19,5975.76,nan,nan,nan,nan,nan,nan,https://indosatooredoo.com
GTN.US,205,506,87,0.144757,419,0.045638,United States,Gray Television Inc,No,0.0405127,0.0476065,4.536,89.491,647.111,2002-08-30,10.7584,13.38,4,1,1,0,2,https://www.gray.tv
WHR.US,206,506,73,0.104823,433,0.0439511,United States,Whirlpool Corporation,No,-0.196,0.0584787,1.133,94.857,6811.66,1983-06-10,133.94,146.33,1,1,5,2,1,https://www.whirlpoolcorp.com
ROVI.MC,207,506,267,0.45032,239,0.078344,Spain,Laboratorios Farmaceuticos ROVI,Yes,0.365618,0.0842094,60.251,18.501,2546.62,2007-12-05,35.1675,nan,nan,nan,nan,nan,nan,https://www.rovi.es
FNTN.XETRA,208,508,235,0.394366,273,0.0698635,Germany,freenet AG,No,-0.0306149,0.07027,0,37.263,2915.45,,19.0554,nan,nan,nan,nan,nan,nan,https://www.freenet-group.de
EXTR.US,209,510,471,0.901805,39,0.20978,United States,Extreme Networks Inc,Yes,0.122664,0.0705674,2.111,90.695,3062.09,1999-04-09,18.31,nan,5,1,2,0,0,https://www.extremenetworks.com
SXC.US,210,511,214,0.365354,297,0.0660013,United States,SunCoke Energy Inc,Yes,0.0729475,0.0651226,1.325,88.743,809.922,2011-07-21,8.2763,11,1,0,1,0,0,https://www.suncoke.com
TLKM.JK,211,511,281,0.464915,230,0.0803986,Indonesia,Telkom Indonesia (Persero) Tbk PT,No,0.0376591,0.0827556,57.422,21.421,3.74455e+08,1995-11-14,3598.56,nan,nan,nan,nan,nan,nan,https://www.telkom.co.id
OXY.US,212,513,412,0.727461,101,0.131786,United States,Occidental Petroleum Corporation,Yes,0.246296,0.0726569,0.276,79.617,54319.5,1981-12-31,62.2484,69.83,8,2,15,0,1,https://www.oxy.com
ACX.MC,213,517,159,0.273222,358,0.054354,Spain,Acerinox,Yes,0.181334,0.0610342,5.5,41.679,2406.98,,8.8064,nan,nan,nan,nan,nan,nan,https://www.acerinox.com
EGHT.US,214,518,125,0.210742,393,0.0495226,United States,8x8 Inc Common Stock,No,-0.30404,0.0967113,3.207,106.199,291.469,1997-07-02,4.32,4.79,3,1,8,0,1,https://www.8x8.com
OLN.US,215,518,425,0.770231,93,0.138247,United States,Olin Corporation,Yes,0.236715,0.0712604,1.115,90.866,5907.53,1987-12-30,52.1472,61.57,6,4,3,1,1,https://www.olin.com
IDR.MC,216,518,233,0.392629,285,0.0680416,Spain,Indra A,Yes,0.127204,0.0657284,33.288,45.015,2315.68,,10.4658,nan,nan,nan,nan,nan,nan,https://www.indracompany.com
NPI.TO,217,519,274,0.460606,245,0.0764731,Canada,Northland Power Inc.,Yes,0.0707167,0.0633817,0.101,42.533,5522.75,,35.5065,nan,nan,nan,nan,nan,nan,https://www.northlandpower.com
NVR.US,218,520,331,0.552415,189,0.0901898,United States,NVR Inc,No,-0.64207,0.083022,4.096,86.675,19746.6,1987-06-25,4612.58,6000,2,0,4,0,1,https://www.nvrinc.com
BST.XETRA,219,523,295,0.488626,228,0.080812,Germany,Bastei Lübbe AG,Yes,0.122255,0.0650174,60.253,5.039,73.9206,,4.2968,nan,nan,nan,nan,nan,nan,https://www.luebbe.de
MU.US,220,528,210,0.362165,318,0.0614635,United States,Micron Technology Inc,Yes,0.145054,0.073396,0.282,84.698,74436.6,1984-06-01,49.6361,67.48,18,8,10,1,1,https://www.micron.com
EQT.US,221,528,258,0.434297,270,0.0704952,United States,EQT Corporation,Yes,0.0965289,0.0700945,0.798,104.764,17597.7,1987-11-05,33.2712,48.38,8,6,8,0,0,https://www.eqt.com
MOZN.SW,222,529,423,0.765626,106,0.129649,Switzerland,mobilezone ag,Yes,0.184733,0.0767281,2.251,31.983,616.889,,14.8491,nan,nan,nan,nan,nan,nan,https://www.mobilezoneholding.ch
GUI.PA,223,531,363,0.623658,168,0.0970468,France,Guillemot Corporation S.A.,Yes,0.146687,0.0824536,68.733,5.346,84.9907,,12.3742,nan,nan,nan,nan,nan,nan,https://www.guillemot.com
NEC.AU,224,533,361,0.619065,172,0.095416,Australia,Nine Entertainment Co Holdings,No,0.0287082,0.0687174,15.591,41.67,3057.39,,1.7379,nan,nan,nan,nan,nan,nan,https://www.nineforbrands.com.au
SMCP.PA,225,535,136,0.237973,399,0.0481407,France,Smcp SAS,No,0.0479079,0.0578332,60.053,12.616,273.983,,6.49,nan,nan,nan,nan,nan,nan,https://www.smcp.com
WDC.US,226,538,397,0.697821,141,0.109677,United States,Western Digital Corporation,Yes,0.0779504,0.0638404,0.212,88.602,14936,1987-01-02,31.55,46.5,10,2,15,1,0,https://www.westerndigital.com
KTCG.VI,227,539,132,0.226951,407,0.0471972,Austria,Kapsch Traffic,No,-0.0424709,0.0845903,63.291,10.838,124.8,2007-06-26,11.3,nan,nan,nan,nan,nan,nan,https://www.kapsch.net
HTO.AT,228,539,315,0.52084,224,0.0813641,Greece,Hellenic Telecommunications Organization S.A,Yes,0.111726,0.0794855,56.832,18.028,5901.6,,14.0393,nan,nan,nan,nan,nan,nan,https://www.cosmote.gr/cs/otegroup/en/ote_ae.html
EB.US,229,543,358,0.615618,185,0.0907412,United States,Eventbrite Inc Class A,No,-0.106072,0.120546,3.18,108.367,1027.89,2018-09-20,5.86,nan,2,1,2,0,0,https://www.eventbrite.com
ABEO.PA,230,543,179,0.315526,364,0.053827,France,Abeo SAS,No,0.0212455,0.0475211,55.743,34.994,129.369,,18.1972,nan,nan,nan,nan,nan,nan,https://www.groupe-abeo.fr
COP.US,231,545,393,0.691466,152,0.104763,United States,ConocoPhillips,Yes,0.201685,0.080823,0.154,81.597,138107,1981-12-31,113.834,134.13,13,6,5,1,0,https://www.conocophillips.com
AAG.XETRA,232,548,195,0.338765,353,0.0554019,Germany,Aumann AG,No,0.00534975,0.0871799,0.022,67.01,211.975,,11.4005,nan,nan,nan,nan,nan,nan,https://www.aumann.com
RS.US,233,549,356,0.61444,193,0.0894199,United States,Reliance Steel & Aluminum Co,Yes,0.19778,0.0790393,0.865,85.069,15270.5,1994-09-15,199.357,292,3,1,3,0,0,https://www.rsac.com
FMG.AU,234,550,310,0.509242,240,0.0781313,,Fortescue Metals Group Ltd,No,-0.0221937,0.0746294,48.798,19.028,71585.9,,18.8479,nan,nan,nan,nan,nan,nan,https://www.fmgl.com.au
CF.US,235,551,475,0.913997,76,0.148925,United States,CF Industries Holdings Inc,Yes,0.452969,0.077572,0.438,94.393,15611.4,2005-08-11,83.4604,85.68,4,5,11,1,0,https://www.cfindustries.com
STGO.TO,236,557,551,1.1602,6,0.643844,Mongolia,Steppe Gold Ltd,Yes,0.709571,0.0808798,29.858,3.925,75.8455,,1.12,nan,nan,nan,nan,nan,nan,https://www.steppegold.com
CE2.XETRA,237,558,300,0.4958,258,0.07364,Germany,CropEnergies AG,Yes,0.0836822,0.0687129,74.02,8.698,725.598,,12.2496,nan,nan,nan,nan,nan,nan,https://www.cropenergies.com
GREEN.BR,238,563,217,0.372297,346,0.056704,Belgium,Greenyard NV,Yes,0.0723738,0.0583839,51.422,13.969,280.644,,6.6216,nan,nan,nan,nan,nan,nan,https://www.greenyard.group
BBY.US,239,565,368,0.638779,197,0.0883109,United States,Best Buy Co. Inc,Yes,0.424621,0.0602512,11.117,82.362,14964.8,1985-04-19,76.3617,nan,4,2,21,1,1,https://investors.bestbuy.com/investor-relations/o
MAK.XETRA,240,566,27,0.00671423,539,0.0334225,Germany,Maternus-Kliniken Aktiengesellschaft,No,-0.346162,0.152176,81.699,0,62.0712,,1.67,nan,nan,nan,nan,nan,nan,https://www.maternus.de
A3M.MC,241,568,275,0.461658,293,0.0666449,Spain,Atresmedia Corporación de Medios de Comunicación S.A.,No,0.0643215,0.0700664,60.407,12.677,821.9,,2.9282,nan,nan,nan,nan,nan,nan,https://www.atresmediacorporacion.com
GEST.MC,242,568,90,0.149299,478,0.0390039,Spain,Gestamp Automocion SA,Yes,0.0766595,0.0551872,74.212,10.502,2004.45,,3.5175,nan,nan,nan,nan,nan,nan,https://www.gestamp.com
CDI.PA,243,568,381,0.661648,187,0.0904736,France,Christian Dior SE,Yes,0.219615,0.0739794,97.622,0.487,122770,,669.996,nan,nan,nan,nan,nan,nan,https://www.dior-finance.com
UPLD.US,244,568,208,0.360946,360,0.0541079,United States,Upland Software Inc,No,-0.0733252,0.148479,12.117,84.266,144.333,2014-11-06,7.13,nan,1,0,5,0,0,https://www.uplandsoftware.com
SMHN.XETRA,245,574,373,0.646682,201,0.0872888,Germany,SÜSS MicroTec SE,Yes,0.116478,0.0825548,7.603,52.136,357.077,,15.0177,nan,nan,nan,nan,nan,nan,https://www.suss.com
EEFT.US,246,574,343,0.576528,231,0.0803397,United States,Euronet Worldwide Inc,Yes,0.0808629,0.0721407,5.483,98.162,3932.02,1997-03-06,94.38,nan,5,1,3,0,1,https://www.euronetworldwide.com
TD.TO,247,576,204,0.348511,372,0.0525687,Canada,Toronto Dominion Bank,Yes,0.0651302,0.0572563,0.108,58.351,145173,,83.6658,nan,nan,nan,nan,nan,nan,https://www.td.com
DKS.US,248,577,324,0.544179,253,0.0745239,United States,Dick’s Sporting Goods Inc,Yes,0.22739,0.0541278,3.425,97.561,8799.04,2002-10-16,116.684,156.5,10,3,13,1,0,https://www.dickssportinggoods.com
MERY.PA,249,577,43,0.0304658,534,0.0339121,France,Mercialys SA,No,-0.0184217,0.0705213,10.362,52.469,799.391,2005-10-12,8.5969,nan,nan,nan,nan,nan,nan,https://www.mercialys.com
HM-B.ST,250,577,246,0.41368,331,0.0591361,Sweden,H & M Hennes & Mauritz AB (publ),No,-0.0740232,0.0752679,57.97,21.596,262350,,107.555,nan,nan,nan,nan,nan,nan,https://www.hmgroup.com
SPKKY.US,251,578,262,0.444996,316,0.0620958,New Zealand,Spark New Zealand Ltd ADR,No,-0.0144018,0.0671519,0,0.042,5271.01,1991-07-16,15.9753,nan,nan,nan,nan,nan,nan,https://www.sparknz.co.nz
MMB.PA,252,593,313,0.514767,280,0.0687689,France,Lagardere SCA,Yes,0.0901706,0.0582956,78.58,14.159,2675.41,,18.9477,nan,nan,nan,nan,nan,nan,https://www.lagardere.com
CIE.MC,253,596,259,0.438786,337,0.0578664,Spain,CIE Automotive S.A.,Yes,0.122654,0.062992,52.268,35.121,3007.54,,23.4423,nan,nan,nan,nan,nan,nan,https://www.cieautomotive.com
SYNA.US,254,600,477,0.9258,123,0.117675,United States,Synaptics Incorporated,Yes,0.114848,0.0724107,0.812,92.157,3638.69,2002-01-29,95.16,nan,6,1,4,0,0,https://www.synaptics.com
KRN.XETRA,255,601,330,0.551759,271,0.070388,Germany,Krones AG,Yes,0.123371,0.0843605,57.228,23.059,3134.04,,103.296,nan,nan,nan,nan,nan,nan,https://www.krones.com
NTAP.US,256,602,440,0.820634,162,0.100627,United States,NetApp Inc,Yes,0.152295,0.0701641,0.401,94.085,15757.5,1995-11-21,58.3266,nan,5,2,12,1,0,https://www.netapp.com
ERF.TO,257,602,497,0.981613,105,0.129653,Canada,Enerplus Corporation,Yes,0.695089,0.083639,0.378,58.563,4738.87,,23.5576,nan,nan,nan,nan,nan,nan,https://www.enerplus.com
TNET.US,258,606,463,0.873803,143,0.108592,United States,TriNet Group Inc,Yes,0.279308,0.0800806,6.777,96.402,5998.19,2014-03-27,67.8,109.5,3,1,1,1,0,https://www.trinet.com
ADT.US,259,607,223,0.378444,384,0.050691,,ADT Inc,No,0.00371267,0.064982,1.143,104.694,5898.14,2018-01-19,8.8732,9.6,2,1,2,1,0,
ZIL2.XETRA,260,607,80,0.127251,527,0.0345095,Germany,Elringklinger AG NA O.N.,No,-0.0581061,0.0769992,57.17,6.262,357.35,,6.8438,nan,nan,nan,nan,nan,nan,https://www.elringklinger.com
NOKIA.HE,261,607,540,1.12706,67,0.155078,Finland,Nokia Oyj,Yes,0.152685,0.0763829,6.475,34.52,20675.9,,4.196,nan,nan,nan,nan,nan,nan,https://www.nokia.com
TCW.TO,262,607,359,0.617057,248,0.0755045,Canada,Trican Well Service Ltd.,Yes,0.148208,0.0837625,0.54,25.23,961.263,,3.5054,nan,nan,nan,nan,nan,nan,https://www.tricanwellservice.com
D6H.XETRA,263,608,379,0.656857,229,0.0806509,Germany,DATAGROUP SE,No,0.0570516,0.0724497,59,13.173,449.958,,61.9484,nan,nan,nan,nan,nan,nan,https://www.datagroup.de
VBK.XETRA,264,609,273,0.45909,336,0.0579423,Germany,VERBIO Vereinigte BioEnergie AG,Yes,0.358282,0.0805276,70.824,11.372,2054.78,,60.3818,nan,nan,nan,nan,nan,nan,https://www.verbio.de
FTNT.US,265,613,221,0.372992,392,0.0495809,United States,Fortinet Inc,Yes,1.20852,0.0849164,17.02,70.348,46044.3,2009-11-18,48.89,79.63,17,6,13,0,0,https://www.fortinet.com
ADHI.JK,266,614,74,0.108925,540,0.0333599,Indonesia,Adhi Karya Persero Tbk,No,0.00581929,0.0767815,53.507,4.513,3.49757e+06,2004-03-18,484,nan,nan,nan,nan,nan,nan,https://adhi.co.id
GPI.US,267,614,169,0.288395,445,0.042392,United States,Group 1 Automotive Inc,Yes,0.173712,0.0565542,3.573,103.959,3513.71,1997-10-30,179.067,294.8,4,1,2,0,1,https://www.group1auto.com
HOLX.US,268,615,448,0.841192,167,0.0973674,United States,Hologic Inc,Yes,0.16943,0.0772649,0.732,99.396,17106.7,1990-06-21,74.81,89.54,4,4,11,0,0,https://www.hologic.com
HOV.US,269,618,49,0.0524335,569,0.0306978,United States,Hovnanian Enterprises Inc,Yes,0.127828,0.0452051,13.211,46.865,545.953,1992-03-17,42.08,27,nan,nan,nan,nan,nan,https://www.khov.com
OERL.SW,270,619,253,0.429289,366,0.0537386,Switzerland,OC Oerlikon Corp AG,No,-0.0111821,0.0687451,43.534,18.238,1246.91,,5.6658,nan,nan,nan,nan,nan,nan,https://www.oerlikon.com
CONN.US,271,619,238,0.396218,381,0.0510931,United States,Conns Inc,Yes,0.0956092,0.0431775,26.558,61.914,85.6747,2003-11-25,6.88,7,1,0,2,0,0,https://www.conns.com
AKE.PA,272,620,215,0.367924,405,0.0476369,France,Arkema SA,Yes,0.0765905,0.0671126,8.101,57.009,6692.1,,80.6027,nan,nan,nan,nan,nan,nan,https://www.arkema.com
RPD.US,273,621,426,0.772104,195,0.0889452,United States,Rapid7 Inc,No,-0.179224,0.114236,1.667,98.344,2822.14,2015-07-17,33.98,52.13,4,2,15,0,0,https://www.rapid7.com
AU.US,274,622,261,0.442869,361,0.0540368,South Africa,AngloGold Ashanti plc,No,0.0471558,0.074969,0,26.987,6693.96,1972-12-15,19.2009,22.5,0,1,3,0,0,https://www.anglogoldashanti.com
OPAP.AT,275,629,511,1.02132,118,0.121413,Greece,Greek Organization of Football Prognostics S.A.,Yes,0.375501,0.0808264,50.18,15.253,5711.29,,12.3131,nan,nan,nan,nan,nan,nan,https://www.opapcsr.gr
IPN.PA,276,631,462,0.871788,169,0.0966889,France,Ipsen SA,Yes,0.123068,0.0821451,57.08,19.692,9339.17,2005-12-07,99.4125,nan,nan,nan,nan,nan,nan,https://www.ipsen.com
IFX.XETRA,277,632,421,0.761247,211,0.0841808,Germany,Infineon Technologies AG,Yes,0.127783,0.0756883,0,57.27,38019.9,,28.1779,nan,nan,nan,nan,nan,nan,https://www.infineon.com
BHP.AU,278,635,506,0.997545,129,0.113891,Australia,BHP Group Limited,Yes,0.26013,0.0769533,0.231,33.769,221656,1987-05-28,43.1212,nan,nan,nan,nan,nan,nan,https://www.bhp.com
QDT.PA,279,637,113,0.191421,524,0.0346616,France,Quadient SA,No,0.0318104,0.0416471,1.051,64.966,702.84,,13.3536,nan,nan,nan,nan,nan,nan,https://www.quadient.com
TOL.US,280,639,211,0.363187,428,0.0443308,United States,Toll Brothers Inc,Yes,0.128284,0.067798,1.101,95.44,7628.86,1987-12-30,49.2722,93.83,7,3,6,3,0,https://www.tollbrothers.com
TRE.MC,281,642,268,0.452141,374,0.0523957,Spain,Tecnicas Reunidas,No,-0.040762,0.136493,42.268,24.339,677.936,,8.3566,nan,nan,nan,nan,nan,nan,https://www.tecnicasreunidas.es
ECR.MC,282,643,206,0.35447,437,0.0432361,Spain,Ercros,Yes,0.119639,0.069989,14.453,10.817,268.365,,3.1162,nan,nan,nan,nan,nan,nan,https://www.ercros.es
QCOM.US,283,643,479,0.92875,164,0.100264,United States,Qualcomm Incorporated,Yes,0.309794,0.0792237,0.078,76.128,123742,1991-12-13,107.075,142.66,16,6,9,0,1,https://www.qualcomm.com
DMP.XETRA,284,644,436,0.809115,208,0.0856864,Germany,Dermapharm Holding SE,Yes,0.0962458,0.0746016,67.7,17.254,2468.18,,36.6857,nan,nan,nan,nan,nan,nan,https://www.dermapharm.de
ASII.JK,285,644,292,0.482752,352,0.0554668,Indonesia,Astra International Tbk,No,0.0771692,0.0786115,50.145,15.123,2.38853e+08,1990-04-04,5138.66,nan,nan,nan,nan,nan,nan,https://www.astra.co.id
ACS.MC,286,645,203,0.347874,442,0.0425114,Spain,ACS Actividades de Construccion y Servicios SA,No,0.0220498,0.103237,19.164,20.854,8931.54,,25.4015,nan,nan,nan,nan,nan,nan,https://www.grupoacs.com
AMI.AU,287,651,598,1.34836,53,0.179907,Australia,Aurelia Metals,No,-0.301134,0.0748993,24.704,22.415,158.413,2007-05-08,0.1192,nan,nan,nan,nan,nan,nan,https://www.aureliametals.com.au
DG.PA,288,653,303,0.498641,350,0.0559938,France,Vinci S.A.,No,0.0521899,0.0662053,9.996,39.384,60743.3,,89.8806,nan,nan,nan,nan,nan,nan,https://www.vinci.com
TWI.US,289,655,406,0.719695,249,0.0754237,United States,Titan International Inc,Yes,0.225109,0.0695724,5.56,81.683,812.942,1993-05-19,15.32,20,0,0,1,0,0,https://www.titan-intl.com
LRCX.US,290,658,335,0.562135,323,0.0601456,United States,Lam Research Corp,Yes,0.336087,0.0772405,0.298,88.542,83050,1984-05-11,415.238,nan,14,3,11,1,0,https://www.lamresearch.com
TELIA.ST,291,663,68,0.0966521,595,0.0284938,Sweden,Telia Company AB,No,-0.162944,0.0717916,42.779,26.933,96965.8,2000-06-13,25.1038,nan,nan,nan,nan,nan,nan,https://www.teliacompany.com
XOM.US,292,665,481,0.937964,184,0.0907586,United States,Exxon Mobil Corp,Yes,0.18097,0.0816387,0.061,60.717,427233,1978-01-13,106.659,nan,7,4,15,0,0,https://corporate.exxonmobil.com
ENG.MC,293,666,264,0.446475,402,0.0477765,Spain,Enagás S.A.,No,0.0118296,0.059947,16.8,28.725,4206.38,,14.2906,nan,nan,nan,nan,nan,nan,https://www.enagas.es
INDF.JK,294,668,225,0.379296,443,0.0424441,Indonesia,Indofood Sukses Makmur Tbk PT,No,0.0380339,0.0618498,50.083,11.082,5.59752e+07,1994-07-14,6493.01,nan,nan,nan,nan,nan,nan,https://www.indofood.com
HEIO.AS,295,669,296,0.490785,373,0.0525623,Netherlands,Heineken Holding NV,Yes,0.0894751,0.0619691,58.226,26.086,21085,,70.3701,nan,nan,nan,nan,nan,nan,https://www.heinekenholding.com
HUN.US,296,671,362,0.620072,309,0.0635236,United States,Huntsman Corporation,No,0.0664778,0.0729585,5.933,89.802,4162.74,2005-02-11,26.4825,29.47,3,2,10,3,0,https://www.huntsman.com
TEL2-B.ST,297,674,146,0.25321,528,0.0344906,Sweden,Tele2 AB (publ),No,-0.168645,0.06689,0.925,66.225,55821.9,,79.0673,nan,nan,nan,nan,nan,nan,https://www.tele2.com
DIOD.US,298,675,383,0.667943,292,0.066823,United States,Diodes Incorporated,Yes,0.204233,0.0830845,2.604,99.443,3695.78,1992-03-17,76.14,97.8,4,0,2,0,0,https://www.diodes.com
PSG.MC,299,676,120,0.202272,556,0.0316197,Spain,Prosegur,No,-0.009398,0.0509171,66.762,15.149,749.481,,1.7213,nan,nan,nan,nan,nan,nan,https://www.prosegur.com
KR.US,300,677,286,0.46867,391,0.0497291,United States,Kroger Company,No,0.0484306,0.0520693,0.702,81.676,31254.3,1928-01-26,43.5387,50.92,9,2,11,0,1,https://www.thekrogerco.com
AMAT.US,301,678,442,0.823612,236,0.0794271,United States,Applied Materials Inc,Yes,0.320208,0.0860759,0.348,83.89,117357,1972-10-05,96.4857,nan,17,4,10,3,0,https://www.appliedmaterials.com
